Date,convexity,pnl
2012-01-30,0.0981954752567,18400.0
2012-01-31,0.106794224724,18520.0
2012-02-01,0.0717009717939,18520.0
2012-02-02,0.0530128026271,18660.0
2012-02-03,0.0703221200982,18800.0
2012-02-06,0.0854622630718,19380.0
2012-02-07,0.0642538335077,19220.0
2012-02-08,0.0495319511054,19570.0
2012-02-09,0.050384016643,19600.0
2012-02-10,0.0437300018709,19530.0
2012-02-13,,19530.0
2012-02-14,,19530.0
2012-02-15,,19530.0
2012-02-16,,19530.0
2012-02-17,0.196658069491,19530.0
2012-02-21,0.236657707851,19430.0
2012-02-22,0.264990989275,19360.0
2012-02-23,0.21332728153,19250.0
2012-02-24,0.261663223781,18880.0
2012-02-27,0.268326734993,19170.0
2012-02-28,0.228325691155,19350.0
2012-02-29,0.243326666463,19230.0
2012-03-01,0.189429135753,19230.0
2012-03-02,0.166711180531,19580.0
2012-03-05,0.151719605541,19590.0
2012-03-06,0.156008204226,19950.0
2012-03-07,0.14109706639,20060.0
2012-03-08,0.117082483077,20040.0
2012-03-09,0.107050931621,20000.0
2012-03-12,0.10020403018,20190.0
2012-03-13,,20190.0
2012-03-14,,20190.0
2012-03-15,,20190.0
2012-03-16,,20190.0
2012-03-19,0.178643370551,20190.0
2012-03-20,0.186569191494,20560.0
2012-03-21,0.181789666189,20360.0
2012-03-22,0.171647078732,20490.0
2012-03-23,0.168357922247,20450.0
2012-03-26,0.17485911316,20600.0
2012-03-27,0.168148783906,20640.0
2012-03-28,0.161339348081,20770.0
2012-03-29,0.142963292376,20810.0
2012-03-30,0.142985303227,20790.0
2012-04-02,0.101943194388,20790.0
2012-04-03,0.0934797347005,20920.0
2012-04-04,0.104055725218,21060.0
2012-04-05,0.100355508726,20890.0
2012-04-09,0.0920569233587,21060.0
2012-04-10,0.106849449474,21010.0
2012-04-11,0.103695735546,20730.0
2012-04-12,0.106406987239,20660.0
2012-04-13,,20660.0
2012-04-16,,20660.0
2012-04-17,,20660.0
2012-04-18,,20660.0
2012-04-19,0.141072183331,20660.0
2012-04-20,0.145027604574,20500.0
2012-04-23,0.144601169177,20690.0
2012-04-24,0.140354174296,20550.0
2012-04-25,0.129440529327,20410.0
2012-04-26,0.128035078364,20450.0
2012-04-27,0.142251158415,20330.0
2012-04-30,0.148134153856,20210.0
2012-05-01,0.0615479259694,20210.0
2012-05-02,0.0656768418659,20250.0
2012-05-03,0.047482955503,20500.0
2012-05-04,0.0485796341492,20530.0
2012-05-07,0.0438053734431,20600.0
2012-05-08,0.0330957823681,20690.0
2012-05-09,0.0300636338439,20680.0
2012-05-10,0.0228381345724,20610.0
2012-05-11,0.0290959022378,20690.0
2012-05-14,0.0271604421019,20710.0
2012-05-15,,20710.0
2012-05-16,,20710.0
2012-05-17,,20710.0
2012-05-18,,20710.0
2012-05-21,0.0374709772173,20710.0
2012-05-22,0.0329071561854,20820.0
2012-05-23,0.0148987173471,20940.0
2012-05-24,0.0300214139157,20780.0
2012-05-25,0.0313524166144,20810.0
2012-05-29,0.0431190092505,20950.0
2012-05-30,0.0352335167408,20910.0
2012-05-31,0.0295624904824,20970.0
2012-06-01,0.0106381587234,20970.0
2012-06-04,0.00107558758187,20880.0
2012-06-05,-0.00132768789008,20780.0
2012-06-06,-0.00915919818833,21020.0
2012-06-07,-0.0215953698256,21110.0
2012-06-08,-0.0440306528792,21200.0
2012-06-11,-0.0359137903471,21130.0
2012-06-12,-0.0432748465499,21090.0
2012-06-13,,21090.0
2012-06-14,,21090.0
2012-06-15,,21090.0
2012-06-18,,21090.0
2012-06-19,0.00467078736006,21090.0
2012-06-20,0.000219280016066,21430.0
2012-06-21,-0.0367729388314,21530.0
2012-06-22,-0.00804759017176,21410.0
2012-06-25,-0.00667703613721,21500.0
2012-06-26,-0.0102402508075,21570.0
2012-06-27,-0.020239296564,21570.0
2012-06-28,-0.0290319353922,21710.0
2012-06-29,-0.0354678770016,21640.0
2012-07-02,-0.0101489696147,21640.0
2012-07-03,-0.0103490915837,21520.0
2012-07-05,-0.0201813320471,21620.0
2012-07-06,-0.0230641861187,21690.0
2012-07-09,-0.0250973617785,21670.0
2012-07-10,-0.0288965290129,21790.0
2012-07-11,-0.0359458204181,21760.0
2012-07-12,-0.0540441213327,21700.0
2012-07-13,,21700.0
2012-07-16,,21700.0
2012-07-17,,21700.0
2012-07-18,,21700.0
2012-07-19,0.0186355935864,21700.0
2012-07-20,0.0254967516187,21720.0
2012-07-23,0.0119582530402,21870.0
2012-07-24,0.00852770100746,21860.0
2012-07-25,0.00420972090935,21930.0
2012-07-26,0.00303012273085,21980.0
2012-07-27,0.00282447591176,22130.0
2012-07-30,-0.00325733045753,22190.0
2012-07-31,-0.0257121606133,22280.0
2012-08-01,0.00896691899483,22280.0
2012-08-02,9.67642243776e-05,22380.0
2012-08-03,-0.00817682906078,22090.0
2012-08-06,-0.00906385298766,22100.0
2012-08-07,-0.00395131994437,22110.0
2012-08-08,-0.00348356630495,22240.0
